blog,text
20,@ 01:00 i spotted two lights coming over from the west. Both flying close to each other but the distance between them never changed. They seemed to be at a very low altitude level. There was no clouds to determine if they were below cloud level but it looked very likely. They moved towards me for a few in a perfect starlight line then began to move upwards. They ascended for a few seconds and stopped dead in their tracks. One blinked on and off for a few seconds and then they both vanished. there was no noise in the sky at the time just perfect silence. This is my fourth or fifth time seeing these objects in the last week after never seeing one before.
21,A airplane traveling southeast possibly a air canada around 5-7 pm was followed by a smaller cylindrical object near the plane  flying beside it going from the back to the front of one side a number of times then it made loops around the plane 2 to three times almost like sizing up the airplane.  The object the continued to go back an fourth along one side back an fourth a couple more times  and with a flash it defied all laws of physics without stopping travelled in the opposite direction for a couple of seconds and vanished
22,As we looked through the scope of a rifle hovering above the trees looking towards Mountain Home Air force Base.
23,i was taking pics of the storm rolling in i took a few quick shots… these photos were both taken at 12:30pm 7/19 i saw this in the second photo after i loaded my pics on the computer… I have no idea what it is or what it could be. We have seen strange lights at night in that area of the sky on quite a few occasions… neighbors have as well… at night the light is like a really bright pulsating star… that has almost like a glow around it i dont have a clue if its a UFO or not but i have no other explanation for it.
24,the object moved easterly across the north of Navan at exactly midnight at a height of about 500 mtrs  it was in view for about 2-3 minutes  it was a little over a half mile away from me in the sky so judging by its distance from me I would estimate that it was about the size of a van or a small truck but circular.  There was a very faint humming noise coming from it  other than that I didn’t notice anything. Some people have suggested that it was Chinese lanterns but I don’t believe that it was judging by the size and colour  maybe there’s another logical explanation as to what it was.  I definitely believe that it was a craft of some kind but the question that bugs me is from where?
25,First time was early May me and my wife to be was out in the yard working on flower beds. just got done and laid down in the yard . looked up and noticed silver craft moving in the sky.  told my wife to look up not knowing she was looking at a different one. they were heading at each other thats when we saw each others objects. There was a small cloud in sky this craft i seen first flew for the cloud going south very fast went by the cloud and then changed direction in a blink of a eye and went into cloud . watched the cloud until it faded away .  i never could see the object again. Until 10/08/2010 on a Friday after noon i was setting in the house . watching TV when a car was going down our gravel road very fast . wanted too see who it was looked and then thats when i noticed a silver object flying past up in the sky. It was the same shape color and size as the one in may .  only lasted maybe 20 seconds it stopped flew east twice . What i mean was it flew east out of sight and came back it did this twice then i noticed the second one for a couple of seconds then they shot off back east . ran out of house looked for awhile but never seen them again. I know what i looked at was nothing i have ever seen . this really upset me because the first time was like wow the second time was whats going on.
26,http://www.youtube.com/watch?v=UPLBFxv72xs Turtle Back Zoo  West Orange  NJ – November 28  2010 -Video of several UFO’s above the Turtle Back Zoo in West Orange  New Jersey. Recorded 11-28-10 at 1721 hours in the parking lot. The objects are seen moving from the west to the east.  There is on object in the top right that moves in several directions at very fast speeds while the others stay in a pattern. This was a few days after thanksgiving and weeks before christmas. It is also within a few miles from New York City  where similar UFO’s have been seen in recent months.  There were several people in the parking lot and at the zoo  looking up in the sky  watching this. If you saw this or have another clip please tag this or send it to UFOatTBZ@gmail.com.
27,We saw orange lights that would appear for a few seconds then go out  another would show as it was going out farther down  then two would flash  then just one.. it was all along the ocean in different locations. They were not flares  or fireworks. I called the front desk and asked what they thought it could be and they said maybe ships shooting fireworks  but they were all orange  on and off like a flashlight.
28,There were around 20 yellow red orange lights moving in circles  and then they started formations of 3. After the formations  the lights disappeared into the dark sky.
29,I observed a brilliant green object emitting light. It changed intensity from bright to less bright approx 3 times as it was heading in a straight path south to north. This lasted approx. 4 seconds and then it went pitch black. The object had what looked like a green cloud around it. My best estimate was that it was traveling approx 600 to 700 mph.  I have spent half of my life dealing with aviation. I have seen thousands of aircraft in flight and certainly over 100 meteorites. This was neither. Too slow to be a meteor and definitely not navigational or strobe lights from a helicopter or airplane. It was maintaining a constant altitude and straight path. There was no sound. The green light was different than anything I had ever seen.
30,I was a child at the time and this object did not seem strange to me  I just thought it was another type of flying object like helicopters etc. I was just outside my house and I heard a buzzing sound which caused me to look up  above me at about the height of the house was a triangular shaped flying object which had approached from an easterly direction. It was triangular but the front point was rounded and the back had a series of cylinder shaped engine/exhaust type things. It was a silvery grey colour. I saw no lights. As I stood and stared at it  it stopped and hovered above me for about a minute  it then continued on towards the west. I didn’t think it strange or out of place at the time and so did not tell anyone about what I had seen  it was only a few years later when I had learned more about the world that I realised that what I had seen that day was not “normal”. I have told of this sighting a few times only to be laughed at more often than not  never taken seriously.
31,i was outside and saw red lights going up and down
32,I walked outside to let my dog out and I looked up and saw these lights  all the frogs and crickets stopped chirping and  I watched it come right over me! It was quiet   but I could hear a wind noise  it was going very slow. the neighbors dogs started barking at it. it went behind my house into the trees and I lost it. then like 5 minutes more or less it came back over.  the lights were round  but they looked like there were slits in the round part of the lights  all 3 of them  but it seemed to show more with the red lights I saw it the second time fly over Merlin  Rd. and and I could hear a couple of cars slow and stop as they had to have seen it as well! Then it was just gone?
33,I was getting off works and riding down the beltway on 495 and at the split from 495 and 95 going towards Northern Va or Baltimore there was atleast 12 floating glowing orange balls in the sky I tired to record a video in my phone but it was to dark
34,Orange orb moving across the sky  very bright  no tail. Seemed to be moving with a set direction  altitude  and speed. Appeared to be considerably lower in the sky than a commercial jet  maybe 1/2-2/3 of a jets altitude. It was moving fast but not at some incredible rate  I watched it across the sky for over a minute  possibly 2 minutes or slightly more. I had enough time to run back to the house and wake somebody up to see it for awhile just before it went out of sight.
35,At 12:04am. i went outside to have a smoke and just over the mountain i saw flickering lights that were red and white and possibly green? It must of been at least 10 miles or more away  im not sure. The flickering lights vanished at about 12:14am i think  it was not there long. VERY STRANGE!!!!!!!!!!
36,I was about nine years old  looking out a second floor window of my house in the middle of New Haven. It was broad daylight in the summer or spring. I looked past the chimney of the next house and saw an object in the distance. I’m afraid my memory is blurry. I wish I could say that I remember it clearly  but in fact I mostly remember looking out the window and then my descriptions of what I saw as I told my parents and others later. I drew a picture of it just after I saw it  but I don’t know what became of the picture. What I told others  and what I seem to remember  is that it was silver  had many small windows  much like a very large airplane  and did not really move for a little while. It hung there  in the distance  as I continued to see it past the chimney. It was not shaped like a plane. It was a disk. It was very long  and seemed larger and lower in the sky than any planes I had seen before in the area. It was far away  but I could see the windows clearly. It did not change in shape and did not really move. Of course everyone told me it was a plane  but I knew what a plane looks like  and I wasn’t THAT young. It was absolutely not a plane. Really it was a very mundane looking object  despite not being shaped like anything I had seen in the sky before. I’d like to believe it was just the government testing out some new military gizmo  but why the hell would they pick New Haven  or Connecticut  at all? I know what I saw  and though I wish someone would have believed little me  nothing anyone says will change that I saw it.
37,flying over my patio  & roof top of my home.  ufo was stable approximately 15 to 30 minutes with bright lights flashing.
38,UFO slowly zigzagged back and forth  up and down. At times it hovered perfectly still. When I first saw it the ufo was moving slowly towards the west. Then it came directly in my direction fairly close  hovered  then headed away from me northwest. I watched it for about 40-45 seconds before it winked out. The funny thing is my cat always wants to go out on the deck in the mornings to sun himself. I opened the door and he ran out  stopped on a dime  looked up at the sky and then ran back into the house with his ears back. I went out on the deck  looked up and saw the UFO almost above me.
39,Weird formation
40,First pass 10pm Second pass10:10 or so Third pass 10:20 Pretty neat
41,Possibly triangular in shape. Really wish I had had my telescope to take a closer look. Noticed it at first through my bedroom skylight but went outside to get a clear look at it and it was really moving around. Just enough that it couldn’t have been a star but not across the sky like a satellite.
42,Sitting out on the deck! I was able to see the beautiful moon through the trees before it disappeared. I was gazing up at the stars facing south when I noticed a bright object approaching.  I figured it was a jet but realized very quickly it wasn’t….to fast  no sound  no flashing red and blue lights that I usually hear and see. I stood up and watched it vanish. A jet soon came flying over….slower  flashing lights and a faint jet sound. Hmmmm.
43,For six months my team and I were mining near Bouse.  AZ. For five nights each week from M-F of each week between 8p and approximately 8:40p each night these orange/amber lights would appear just east of Abex Peak.  The lights would miraculously appear  separate into intricate formations and then occasionally recombine and dramatically have and then change positions. We have video of the anomalies as they become quite predictable over the weeks we observed them.  The lights were extraordinary and not easily explained by any of the group of 8 of us that observed them. I can be contacted by private email or here. We observed the Bouse lights over 15 times between November 2013 and February 2014
44,Ive seen one of these back home in pittsburgh  and that was 3 years ago. This is the first time ive seen once since. Its a triangle shape and its almost completely silent. For something to be that big and close and be silent is remarkable.  It flew over my head around 70th ave north and headed southeast along the shoreline. Then came to a stop almost and seemed like it started heading back inland (maybe around market commons  or air force base  hmmm)..  Didnt do everything i saw the last one back home do  but still remarkable.. If you do contact a witness  please be respectful to them. Contact Email of Witness: B_lem006@yahoo.com
45,My friend and I were driving around in Howland one night on a back road that had nothing but trees and houses on it. There is nothing else anywhere around this area that could explain what we saw.  We noticed a circular object in the sky with some bright lights under it. The lights were red and white. At first we thought it was a plane  but those lights blink and planes travel in one direction.  The lights on this object weren’t blinking and the craft wasn’t moving. We drove a little further down this road because we thought we would eventually figure out what it was  but as we got closer to the object  we realized it farther above the trees than any kind of lights or anything like that and that it was lower than an airplane would be.  Also  it still wasn’t moving from its original position. My friend and I started to freak out a little bit and we turned around and drove the other way. I wish we had gone a little further  but when we figured out what we were looking at  or rather what it WASN’T  we got scared.  Now  I am a rationally 20 year old and I’m very down to earth (no pun intended)  but I really have no explanation for what I saw other than that it was a UFO. If you do contact a witness  please be respectful to them. Contact Email of Witness: shebert257@yahoo.com
46,Was driving home from work approx. 11pm at nite on Hwy 8 west of Olympia and spotted what looked like at first a helicopter above the highway. I had thought at first maybe a search helicopter was out looking for someone.  My radio began not to work in my car so then my attention was this thing in front of me above the highway. It’s like it knew what I was thinking. There were a few other vehicles on the highway but it chose to follow me.  I noticed how round it was and it had bright lights all around it flashing. It was not a helicopter. It had then followed me a few more miles till I got home off the highway and by then I was scared.  I got out of my car and ran into the house and looked out the window and it was directly above my house. I tried to wake up my mother so someone else could confirm what I saw. But after a few minutes it had left.
47,Leaving my mother’s house in Mount Prospect IL tonight 4/11/11 at approximately 10:10 CST I saw a streaking light low in the southwest sky  moving east to west.  it was real fast definitely not a plane and low in the sky  anyone else see this. Bullet fast  gone in 5 seconds.
48,It glided silently over me and my mother i could see L shaped form of lights but not on. Right above the tree line.Very silent very large couldnt understand why anyone else didnt notice it besides me and my mother.
49,Lights would fade in and then fade out a few seconds later. Some would appear alone and some would appear in succession in a line. The spread of appearences was about 80 deg from left to right. There was no recognizable pattern.
50,My 23rd birthday I was late to my own party driving down from Williston but I went to JSC so I knew the area well enough. I was driving on 100 north in N Hyde Park driving to Eden..Belveder Mt rd.  I was just south of Ober Hill rd on the long straight stretch. It was a clear night probably half a moon when I saw it come out from on top of the tree tops on my right probably 600 or so yards ahead and 100 ft in the air moving into my path.  I became the most scared I have ever been and after watching it keep pace with me spacially. I blasted my radio and floored it and I dont remeber ever looking up to see where it was again..too scared.  I went back the next day to the area I saw to see if there was a school that mightve been shooting fireworks off but there was nothing there. A very desoulte stretch of road. A handful of houses  no schools no town offices nothing.  Gives me chills even to think of it now. I have been searching or years to see if anybody else reported anything that night If you do contact a witness  please be respectful to them. Contact Email of Witness: malickai4@yahoo.com
51,My husband and two and I wereoming home at about 9:30pm.  My husband one who would never believe such a thing was like the chiildren and me.  Mouths wide open.  Tried taking pictures with our phone  really didn’t work.   They look like far away they were almost on the groumd goin up in the arc then.  Bam!  one at a time went straight up all in no more than 10 min.  very strange will never forget.  children thought we were in a war.
52,it was the nite of metor showers it was northeast above bath county then cruze like a plane above morehead brite white lite no sound traveled about one mile got so for n disaperd it was the size of a fifty cent peice thats not the only one i seen back in 09 seen a cigar shape one white thout it was a plane.  but no wings n sound it was slowly rotating   turned into a cloud n gone didnt come out the side it was cool my ex n nabor seen it as well .  aslo seen a giant white lite in 2001 or 02 thouth it was the street lite getting briter the it got  huge size of two football fields but silent  about mile up crused about half mile n disaperd one last  year this one feel out of  the sky looked like a small plane liyes flash on n off zigzag  n shot out to the north red lite got smaller n then the stars n sky when fuzy like it bent time  i seen them  in colo i know what they  are  nthere real im a native american from a long line of spitiual people so i believe in what i see n know  thank you for the time was dieng to to someone
53,Ufo Formation Flies in Mysterious Patterns
54,I notice something in the sky that was in the distant and i had never seen before and suddenly it turned around and came toward us. My grandma screamed to get inside and i was by now on the porch with her and my sister and friends still on the sidewalk.The silver object with its muiti-colored lights  just hovered over the telephone pole  just above it. We were all frozen with and unable to move and also curiost and it seemed like forever and then it just sped off so fast and disappeared to where i first noticed it. If you do contact a witness  please be respectful to them. Contact Email of Witness: micheleannquick@yahoo.com
55,The first was on 17 SEP 13. I went to have a smoke and from my balcony I saw in the distance six bright lights coming up the coast. they were in a tight group and I thought it might be a group of choppers but there was no sound.  The lead three distanced themselves from the rear three. Movemt was odd. erratic but precise as far as formation. Suddenly the first three made what appeared to be a ninety degree turn  accelerated and just vanished.  It was one of those WTF moments and I was having trouble believing what I just saw when the other three followed suit and were gone in seconds. Evidently there were others who witnessed them and reported as well. I know think it may have been two larger objects with three distinct lights because the distance between never varied in either group.  The second was tonight  29 OCT 13. Again  I went out after dinner for a smoke. The approach  for San Jose Airport runs pretty much right over my roof and there is always a line of planes coming in. I looked to my left and saw what I thought was a plane very low and heading directly towards my location.  My next thought was this didn’t make sense .I’d never seen a plane approach from that direction. After a few moments I realized it wasn’t moving at all. It was hovering in one spot  possibly with a slight swaying motion. It appeared as a bright white light edged with a multi- colored aura for lack of a better word. I watched it  puzzled  for about 15 minutes  looked at it with binoculars and tried to find landmarks to see if it was moving. Then  a friend happened to stop by. I showed him what I saw and his first comment was ” that things not moving. What the hell is that” We watched it for another ten minutes or so  then went inside thirty minutes later  we went out to have a smoke and check on the mystery light and it was gone. I even went to the other side of the building to see if  by some chance it was a bright Venus or something  whether it had moved with the rotation  but there was nothing . No trace anywhere around of an! orbiting object.  Just another head scratchier. know I am not a crackpot  delusional  hallucinating  or seeking attention. I am also unaware of any aircraft that can hover  with no movement or sound   and certainly not one that makes ninety degree turns an disappears so I believe it can be only one thing.  If anyone else in my area sees this and had a similar experience  please share. Thanks If you do contact a witness  please be respectful to them. Contact Email of Witness: dannyhum@yahoo.com
56,i have seen this “light” on several occasions and have been asking other people who say they have also seen it. the last time i saw it was 01-02-11 about 10:30pm.  It stayed in the sky for about 15 minutes total. On the morning of 01-03-11 there were 5000 blackbirds and over 100 000 fish that mysteriously died in Arkansas. I live only 7 miles from the Arkansas border.  I don’t know if the 2 are related but it seems like something pretty strange is going on.
57,This was an approximately 60 foot wide and tall sphere. It pulsated multiple colors and seemed to be spinning inside the object. Its been stationary for about a week now about a mile in the air. I have multiple videos from separate dates. Contact me to see them. If you do contact a witness  please be respectful to them. Contact Email of Witness: texking69@live.com
58,traveling south on hwy 11 between Sperry and Skiatook okla.  My 2 yr old was with me and he saw it first.  Pulled over and watched it for about a minute and 1/2.  it was about sundown. the it just kind of shot off and disappeared.   When I told my husband what I saw he laughed at me and it made me start crying. I called channel 8 news and they said their phones were going crazy.  The air traffic controller at tulsa international said he could see it out the window but couldn’t pick it up on radar.  He said they were trying to brush it off as a metor but it was flying parallel to the ground .   Then I never heard another word but I have never forgotten that and would love to talk to someone else who saw it. If you do contact a witness  please be respectful to them. Contact Email of Witness: coyotex@aol.com
59,It was very quiet you could hear a car crossing over the dam over the low hum of ufo. We would like to know who else saw it.
60,Another Mass sighting of Ufo’s in Los Angeles has Happened  and no im not talking about the giant light in the sky on Saturday I’m talking about a Fleet Of Ufos Witnessed Over Los Angeles. it was spotted on September 26th 2015 at 1pm Saturday for an L.A. Ufo Channel Event in Hollydale Park  Southgate California. We and the Public Gathered with a group of over 40 people as we have been doing for two years. We attempted a Meditation to Contact Ufo’s telepathically so we may witness them and present them to the public that joins us for free at our Meetups as well as present them to the world through the Media who helps present our findings.  Well this day when we meditated someone in the maditation during their telepathic contact attempts asked for a Fleet/ Ufo Formation  and you wouldn’t believe this unless you were there but right after the meditation session was over literally just minutes after Danny from the group saw and notified the rest of us to know where to look so we could see it as well.  what we saw were these set of objects Coming out of a Chemtrail haze opening in the sky  this beauty of a Sighting was 12 gorgeous strange riveting Paranormal Orbs that flew out of the cham haze opening and then continued in front of it decending in beautiful patterns and formations.   You can hear in the footage that everyone else in the group of over 30 of us that gathered that day soon starts to see the objects and react to the sighting with the amazement and surprise of this intelligent group of objects as they traveled out if a Chem trail and flew in intelligent displays of their ability to interact  ways we know our best Jet fighters can’t event do. I filmed it with my Canon T3i at 600 times zoom  witch is because of a 300 times canon scope attached to a double amplifying Barr to get as closest I could and film the clearest shot of this Anomalies witnessed that day over the skies of Los Angeles. If you would like to see what we witnessed you can find the Footage here  -Best regards Fausto Perez Co-Founder of the research orginization L.A. Ufo Channel Producer of the FaustoUfo Documentaries Youtube.com/Liro51 Facebook.com/UfoContact
61,I was sighting at the park attemting to contact ufo’s when a highschool cross country team stopped by as soon as I witnessed the first ufo resulting in them freaking out over witnessing the Ufo I was Filming  -Best regards Fausto Perez Co-Founder of the research orginization L.A. Ufo Channel Producer of the FaustoUfo Show Youtube.com/Liro51 Facebook.com/UfoContact FaustoUfo@gmail.com
62,I had woken to use the restroom and decided I wanted to go outside for a cigarette. While standing on the back porch  I noticed a very bright light that I thought was a star a first. Then  I realized it was too bright and too close to be a star. I thought maybe it could be an airplane or helicopter but there were no other lights nor was there any sound.  I recorded it on my cell phone. During the recording  you can hear the neighbor’s dog howl twice but no sounds of helicopters or airplanes. I don’t know what I saw  but I know it wasn’t the normal day to day aircraft we see. If you do contact a witness  please be respectful to them. Contact Email of Witness: shaideemrw@gmail.com
63,Sitting in hot tub with my wife  late afternoon  looking out over Breton Bay and Potomac river  when two cigar shaped multi colored objects just appear in sky. Stayed several minutes then suddenly  a puff of smoke appears and they were gone.  Objects hovered and also zig zagged in sky over the area. Most interesting  is that next day  at least 5-10 navy helicopters hovered over the area and the Potomac river for hours. Large naval base nearby  Pax River Naval station.  I asked around the next day and nobody I knew had seen it. I was a member of the Sheriff’s department and they also did not know anything about it. I assumed it was a secret weapons test but like nothing I have ever seen. Was over a populated area  not over the base.
64,Have video for two days in a row same ufo same time same location went chasing each time used compass to figure out location will most Likely show up again
65,Stormy night. Could only see object during lighting flashes. No noise  no lights. Appeared to have exterior texture of piping and panels. Not nearly as elaborate as a “Borg” ship. More like 1-3 railroad boxcars. Like multiple objects of same sized attached together moving as one unit. Very large and seemed to take up the space of a boxcar if I was 5 feet away. The scale was difficult to make out as I was not sure how high above the power lines this object was. Slow and steady movement. Object continued to move in same direction until no longer visible in the rain/low clouds. If you do contact a witness  please be respectful to them. Contact Email of Witness: emc2jc@yahoo.com
